compound_name	synonyms	species	strain	dosage	avg_lifespan_change	max_lifespan_change	gender	significance	pubmed_id	Comment	pref_name	chembl_id	pubchem_cid	DrugBank_id
Dibromoacetic acid	NA	Caenorhabditis elegans	N2	100 µm	14.6	NA	NA	NA	25556763	NA	DIBROMOACETIC ACID	CHEMBL449362	12433	NA
D-glutamate	NA	Caenorhabditis elegans	N2	10 mM	-3	NA	NA	NS	25643626	NA	D-GLUTAMATE	CHEMBL76232	23327	DB02517
Arctigenin	NA	Caenorhabditis elegans	N2	10 uM	6.7	NA	NA	NA	26141518	NA	ARCTIGENIN	CHEMBL435734	64981	NA
Sesamin	NA	Caenorhabditis elegans	N2	3.1 µg	10.5	NA	NA	NA	24549958	NA	SESAMIN	CHEMBL252915	72307	NA
Arctiin	NA	Caenorhabditis elegans	N2	10 uM	8.9	NA	NA	NA	26141518	NA	ARCTIIN	CHEMBL388452	100528	NA
Celastrol	NA	Caenorhabditis elegans	N2	7 µmol/l	17.4	NA	NA	NA	24416295	NA	CELASTROL	CHEMBL301982	122724	NA
Tetrahydrocurcumin	NA	Mus musculus	Sprague-Dawley	0.002	11.7	NA	Male	NA	15247057	NA	TETRAHYDROCURCUMIN	CHEMBL318743	124072	NA
Ketanserin tartrate	NA	Caenorhabditis elegans	NA	176 µM	13	NA	NA	NA	24134630	NA	KETANSERIN TARTRATE	CHEMBL1256709	135348	NA
Glyceollin I	NA	Saccharomyces cerevisiae	NA	12.5 nM	40	NA	NA	NA	24399048	NA	GLYCEOLLIN I	CHEMBL1774987	162807	NA
Nicotinamide riboside	NR	Saccharomyces cerevisiae	BY4741	10 µM	20	NA	NA	NS	17482543	NA	NICOTINAMIDE RIBOSIDE	CHEMBL438497	439924	NA
Tartrate	Sodium tartrate	Mytilina brevispina	NA	0.25% on alternate days	43.7	NA	NA	NA	804507	NA	TARTRATE	CHEMBL1236315	444305	NA
